Node,Depth (m),Disp X (mm),Disp Y (mm),"Disp Z (mm, +up/-down)",Section Depth (m),Axial Force (kN),Shear X' (kN),Shear Y' (kN),Moment X' (kN*m),Moment Y' (kN*m)
113,7.56000000,-0.01721182,0.00000000,-1.44050565,7.56000000,709.12929649,2.64549655,0.00000000,-0.00000000,1.07941237
114,7.62750000,-0.01665003,0.00000000,-1.42727970,7.62750000,707.71055257,2.48619698,0.00000000,-0.00000000,0.90084135
115,7.69500000,-0.01608681,0.00000000,-1.41408021,7.69500000,706.30492919,2.33228601,0.00000000,-0.00000000,0.73302306
116,7.76250000,-0.01552371,0.00000000,-1.40090694,7.76250000,704.91240030,2.18376252,0.00000000,-0.00000000,0.57559375
117,7.83000000,-0.01496216,0.00000000,-1.38775964,7.83000000,703.53294009,2.04061167,0.00000000,-0.00000000,0.42818978
118,7.89750000,-0.01440349,0.00000000,-1.37463807,7.89750000,702.16652297,1.90280595,0.00000000,0.00000000,0.29044850
119,7.96500000,-0.01384891,0.00000000,-1.36154198,7.96500000,700.81312362,1.77030615,0.00000000,0.00000000,0.16200909
120,8.03250000,-0.01329955,0.00000000,-1.34847114,8.03250000,699.47271695,1.64306237,0.00000000,0.00000000,0.04251343
121,8.10000000,-0.01275644,0.00000000,-1.33542529,8.10000000,698.14527810,1.52101484,0.00000000,0.00000000,-0.06839328
122,8.16750000,-0.01222050,0.00000000,-1.32240421,8.16750000,696.83078246,1.40409486,0.00000000,0.00000000,-0.17106178
123,8.23500000,-0.01169260,0.00000000,-1.30940764,8.23500000,695.52920567,1.29222562,0.00000000,0.00000000,-0.26583819
124,8.30250000,-0.01117349,0.00000000,-1.29643534,8.30250000,694.24052359,1.18532292,0.00000000,0.00000000,-0.35306342
125,8.37000000,-0.01066388,0.00000000,-1.28348708,8.37000000,692.96471234,1.08329600,0.00000000,0.00000000,-0.43307271
126,8.43750000,-0.01016436,0.00000000,-1.27056262,8.43750000,691.70174825,0.98604819,0.00000000,0.00000000,-0.50619519
127,8.50500000,-0.00967550,0.00000000,-1.25766171,8.50500000,690.45160792,0.89347760,0.00000000,0.00000000,-0.57275345
128,8.57250000,-0.00919776,0.00000000,-1.24478412,8.57250000,689.21426817,0.80547776,0.00000000,0.00000000,-0.63306318
129,8.64000000,-0.00873157,0.00000000,-1.23192960,8.64000000,687.98970606,0.72193820,0.00000000,0.00000000,-0.68743293
130,8.70750000,-0.00827729,0.00000000,-1.21909793,8.70750000,686.77789889,0.64274503,0.00000000,0.00000000,-0.73616376
131,8.77500000,-0.00783521,0.00000000,-1.20628886,8.77500000,685.57882418,0.56778146,0.00000000,0.00000000,-0.77954905
132,8.84250000,-0.00740559,0.00000000,-1.19350215,8.84250000,684.39245971,0.49692833,0.00000000,0.00000000,-0.81787430
133,8.91000000,-0.00698862,0.00000000,-1.18073756,8.91000000,683.21878349,0.43006452,0.00000000,0.00000000,-0.85141696
134,8.97750000,-0.00658447,0.00000000,-1.16799487,8.97750000,682.05777376,0.36706744,0.00000000,0.00000000,-0.88044632
135,9.04500000,-0.00619324,0.00000000,-1.15527383,9.04500000,680.90940898,0.30781341,0.00000000,0.00000000,-0.90522337
136,9.11250000,-0.00581502,0.00000000,-1.14257421,9.11250000,679.77366788,0.25217807,0.00000000,0.00000000,-0.92600077
137,9.18000000,-0.00544983,0.00000000,-1.12989577,9.18000000,678.65052940,0.20003669,0.00000000,0.00000000,-0.94302279
138,9.24750000,-0.00509768,0.00000000,-1.11723828,9.24750000,677.53997270,0.15126455,0.00000000,0.00000000,-0.95652527
139,9.31500000,-0.00475853,0.00000000,-1.10460150,9.31500000,676.44197721,0.10573721,-0.00000000,0.00000000,-0.96673563
140,9.38250000,-0.00443233,0.00000000,-1.09198520,9.38250000,675.35652257,0.06333080,-0.00000000,0.00000000,-0.97387289
141,9.45000000,-0.00411899,0.00000000,-1.07938915,9.45000000,674.28358865,0.02392229,-0.00000000,0.00000000,-0.97814772
142,9.51750000,-0.00381840,0.00000000,-1.06681311,9.51750000,673.22315557,-0.01261031,-0.00000000,0.00000000,-0.97976247
143,9.58500000,-0.00353042,0.00000000,-1.05425684,9.58500000,672.17520366,-0.04638768,-0.00000000,0.00000000,-0.97891128
144,9.65250000,-0.00325490,0.00000000,-1.04172012,9.65250000,671.13971349,-0.07752904,-0.00000000,0.00000000,-0.97578011
145,9.72000000,-0.00299167,0.00000000,-1.02920272,9.72000000,670.11666587,-0.10615194,-0.00000000,0.00000000,-0.97054690
146,9.78750000,-0.00274054,0.00000000,-1.01670439,9.78750000,669.10604183,-0.13237211,-0.00000000,0.00000000,-0.96338164
